game_season,game_match,game_league_match,game_date,game_kickoff,game_kickoff_type,game_opponents,game_venue,game_venue_type,game_competition,game_level,game_attendance,game_away_attendance,game_home_attendance,game_outcome,game_goals_for,game_goals_against,game_manager,game_division_position,game_pyramid_position,game_cumulative_points,game_p1,game_p1mins,game_p2,game_p2mins,game_p3,game_p3mins,game_p4,game_p4mins,game_p5,game_p5mins,game_p6,game_p6mins,game_p7,game_p7mins,game_p8,game_p8mins,game_p9,game_p9mins,game_p10,game_p10mins,game_p11,game_p11mins,game_s1,game_s1mins,game_s2,game_s2mins,game_s3,game_s3mins,game_s4,game_s4mins,game_s5,game_s5mins,game_s6,game_s6mins,game_s7,game_s7mins,game_s8,game_s8mins,game_s9,game_s9mins,game_goal1,game_goal2,game_goal3,game_goal4,game_goal5,game_goal6,game_goal7,game_goal8,game_yellow1,game_yellow2,game_yellow3,game_yellow4,game_yellow5,game_yellow6,game_red1,game_red2
20132014,14,11,20131012,1500,0,Dagenham and Redbridge,Victoria Road,1,EFL,4,1727,,1727,3,2,1,Mark Yates,17,85,12,0403_Scott_Brown,90,0601_Keith_Lowe,90,1210_Jason_Taylor,90,1301_Troy_Brown,90,1302_Jamie_Cureton,77,1214_Byron_Harrison,90,1107_Jermaine_McGlashan,90,1304_Matt_Richards,90,1105_Russell_Penn,90,1109_Sido_Jombati,90,1308_Craig_Braham-Barrett,90,1317_Harvey_Rivers,0,1007_Steve_Elliott,0,1203_Sam_Deering,0,1303_Terry_Gornell,13,1307_Zack_Kotwica,0,0404_Ashley_Vincent,0,1311_David_Noble,0,NA,NA,NA,NA,1302_Jamie_Cureton,0601_Keith_Lowe,NA,NA,NA,NA,NA,NA,1302_Jamie_Cureton,1105_Russell_Penn,1308_Craig_Braham-Barrett,1214_Byron_Harrison,NA,NA,NA,NA
20132014,15,12,20131019,1500,0,Rochdale,Whaddon Road,0,EFL,4,2887,,2887,0,1,2,Mark Yates,17,85,12,0403_Scott_Brown,90,0601_Keith_Lowe,90,1210_Jason_Taylor,90,1301_Troy_Brown,90,1302_Jamie_Cureton,90,1214_Byron_Harrison,90,1107_Jermaine_McGlashan,90,1304_Matt_Richards,90,1105_Russell_Penn,90,1109_Sido_Jombati,90,1308_Craig_Braham-Barrett,90,1204_Connor_Roberts,0,1007_Steve_Elliott,0,1203_Sam_Deering,0,1303_Terry_Gornell,0,1307_Zack_Kotwica,0,0404_Ashley_Vincent,0,1311_David_Noble,0,NA,NA,NA,NA,1301_Troy_Brown,NA,NA,NA,NA,NA,NA,NA,1105_Russell_Penn,1107_Jermaine_McGlashan,1308_Craig_Braham-Barrett,NA,NA,NA,NA,NA
20132014,16,13,20131022,1945,1,Morecambe,Whaddon Road,0,EFL,4,2050,,2050,3,3,0,Mark Yates,17,85,15,0403_Scott_Brown,90,0601_Keith_Lowe,90,1210_Jason_Taylor,86,1301_Troy_Brown,90,1302_Jamie_Cureton,70,1203_Sam_Deering,90,1303_Terry_Gornell,90,1107_Jermaine_McGlashan,88,1304_Matt_Richards,90,1109_Sido_Jombati,90,1311_David_Noble,90,1204_Connor_Roberts,0,1007_Steve_Elliott,0,1214_Byron_Harrison,20,1105_Russell_Penn,0,1215_Joe_Hanks,0,1307_Zack_Kotwica,2,1314_Harry_Williams,4,NA,NA,NA,NA,1304_Matt_Richards,1303_Terry_Gornell,1214_Byron_Harrison,NA,NA,NA,NA,NA,1303_Terry_Gornell,NA,NA,NA,NA,NA,NA,NA
20132014,17,14,20131026,1500,0,Northampton Town,Sixfields,1,EFL,4,4033,,4033,1,1,1,Mark Yates,17,85,16,0403_Scott_Brown,90,0601_Keith_Lowe,90,1210_Jason_Taylor,90,1301_Troy_Brown,90,1203_Sam_Deering,90,1214_Byron_Harrison,90,1303_Terry_Gornell,90,1304_Matt_Richards,90,1105_Russell_Penn,90,1109_Sido_Jombati,90,1311_David_Noble,75,1204_Connor_Roberts,0,1302_Jamie_Cureton,15,1215_Joe_Hanks,0,1307_Zack_Kotwica,0,1308_Craig_Braham-Barrett,0,1314_Harry_Williams,0,NA,NA,NA,NA,NA,NA,1214_Byron_Harrison,NA,NA,NA,NA,NA,NA,NA,1210_Jason_Taylor,NA,NA,NA,NA,NA,NA,NA
20132014,18,15,20131102,1500,0,York City,Whaddon Road,0,EFL,4,2706,,2706,1,2,2,Mark Yates,18,86,17,0403_Scott_Brown,90,0601_Keith_Lowe,90,1210_Jason_Taylor,90,1301_Troy_Brown,90,1302_Jamie_Cureton,70,1203_Sam_Deering,90,1214_Byron_Harrison,90,1304_Matt_Richards,90,1105_Russell_Penn,83,1109_Sido_Jombati,90,1311_David_Noble,90,1204_Connor_Roberts,0,1303_Terry_Gornell,20,1215_Joe_Hanks,0,1307_Zack_Kotwica,7,1308_Craig_Braham-Barrett,0,1314_Harry_Williams,0,NA,NA,NA,NA,NA,NA,1214_Byron_Harrison,1304_Matt_Richards,NA,NA,NA,NA,NA,NA,1203_Sam_Deering,1311_David_Noble,NA,NA,NA,NA,NA,NA
20132014,19,NA,20131109,1500,0,Tamworth,The Lamb Ground,1,FAC,1,1566,,1566,0,0,1,Mark Yates,NA,NA,NA,0403_Scott_Brown,90,0601_Keith_Lowe,90,1210_Jason_Taylor,90,1301_Troy_Brown,90,1302_Jamie_Cureton,90,1203_Sam_Deering,82,1214_Byron_Harrison,90,1303_Terry_Gornell,90,1304_Matt_Richards,90,1105_Russell_Penn,45,1308_Craig_Braham-Barrett,90,1204_Connor_Roberts,0,1007_Steve_Elliott,45,1215_Joe_Hanks,0,1307_Zack_Kotwica,8,1109_Sido_Jombati,0,0404_Ashley_Vincent,0,1314_Harry_Williams,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1308_Craig_Braham-Barrett,NA,NA,NA,NA,NA,NA,NA
20132014,20,16,20131116,1500,0,Wycombe Wanderers,Adams Park,1,EFL,4,3207,,3207,3,2,1,Mark Yates,17,85,20,0403_Scott_Brown,90,1210_Jason_Taylor,90,1301_Troy_Brown,90,1007_Steve_Elliott,90,1302_Jamie_Cureton,76,1203_Sam_Deering,85,1214_Byron_Harrison,90,1304_Matt_Richards,90,1109_Sido_Jombati,90,1308_Craig_Braham-Barrett,90,1311_David_Noble,89,1204_Connor_Roberts,0,0601_Keith_Lowe,1,1303_Terry_Gornell,5,1105_Russell_Penn,14,1215_Joe_Hanks,0,1307_Zack_Kotwica,0,0404_Ashley_Vincent,0,NA,NA,NA,NA,1302_Jamie_Cureton,9999_Own_Goal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20132014,21,17,20131123,1500,0,Newport County AFC,Whaddon Road,0,EFL,4,3501,,3501,1,0,0,Mark Yates,17,85,21,0403_Scott_Brown,90,1210_Jason_Taylor,90,1301_Troy_Brown,90,1007_Steve_Elliott,90,1302_Jamie_Cureton,90,1203_Sam_Deering,72,1214_Byron_Harrison,65,1304_Matt_Richards,65,1109_Sido_Jombati,90,1308_Craig_Braham-Barrett,90,1311_David_Noble,90,1204_Connor_Roberts,0,1303_Terry_Gornell,25,1107_Jermaine_McGlashan,25,1105_Russell_Penn,18,1215_Joe_Hanks,0,1307_Zack_Kotwica,0,0404_Ashley_Vincent,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1007_Steve_Elliott,1311_David_Noble,NA,NA,NA,NA,NA,NA
20132014,22,18,20131126,1945,1,Bristol Rovers,Whaddon Road,0,EFL,4,3556,,3556,1,0,0,Mark Yates,16,84,22,0403_Scott_Brown,90,1210_Jason_Taylor,59,1301_Troy_Brown,90,1007_Steve_Elliott,90,1302_Jamie_Cureton,90,1203_Sam_Deering,81,1303_Terry_Gornell,61,1304_Matt_Richards,90,1109_Sido_Jombati,90,1308_Craig_Braham-Barrett,90,1311_David_Noble,90,1204_Connor_Roberts,0,1214_Byron_Harrison,29,1107_Jermaine_McGlashan,31,1105_Russell_Penn,0,1215_Joe_Hanks,0,1307_Zack_Kotwica,9,0404_Ashley_Vincent,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1007_Steve_Elliott,NA,NA,NA,NA,NA,NA,NA
20132014,23,19,20131130,1500,0,Southend United,Roots Hall,1,EFL,4,5677,,5677,1,1,1,Mark Yates,14,82,23,0403_Scott_Brown,90,1210_Jason_Taylor,81,1301_Troy_Brown,90,1007_Steve_Elliott,90,1214_Byron_Harrison,90,1107_Jermaine_McGlashan,90,1304_Matt_Richards,90,1109_Sido_Jombati,90,1308_Craig_Braham-Barrett,90,1309_Kemar_Roofe,72,1311_David_Noble,90,1204_Connor_Roberts,0,1302_Jamie_Cureton,0,1203_Sam_Deering,0,1303_Terry_Gornell,9,1305_Connor_Goldson,0,1105_Russell_Penn,18,1312_Toby_Ajala,0,NA,NA,NA,NA,1304_Matt_Richards,NA,NA,NA,NA,NA,NA,NA,1105_Russell_Penn,NA,NA,NA,NA,NA,NA,NA
